"suburb","dwelling_type","bedrooms","month_year","rent","data_updated"
"Alderley","Flat","1",2023-09-01,445,2024-05-16 06:01:35.818054
"Alderley","Flat","1",2024-03-01,275,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2017-09-01,330,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2017-12-01,350,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2018-03-01,350,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2018-06-01,390,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2018-09-01,340,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2018-12-01,350,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2019-03-01,390,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2019-06-01,365,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2019-09-01,360,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2019-12-01,360,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2020-03-01,370,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2020-06-01,355,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2020-09-01,360,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2020-12-01,375,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2021-03-01,375,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2021-06-01,399,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2021-09-01,400,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2021-12-01,375,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2022-03-01,400,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2022-06-01,440,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2022-09-01,450,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2022-12-01,490,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2023-03-01,500,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2023-06-01,470,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2023-09-01,480,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2023-12-01,500,2024-05-16 06:01:35.818054
"Alderley","Flat","2",2024-03-01,500,2024-05-16 06:01:35.818054
"Alderley","Flat","3",2018-03-01,460,2024-05-16 06:01:35.818054
"Alderley","Flat","3",2021-03-01,460,2024-05-16 06:01:35.818054
"Alderley","House","3",2017-09-01,495,2024-05-16 06:01:35.818054
"Alderley","House","3",2017-12-01,475,2024-05-16 06:01:35.818054
"Alderley","House","3",2018-03-01,450,2024-05-16 06:01:35.818054
"Alderley","House","3",2018-06-01,460,2024-05-16 06:01:35.818054
"Alderley","House","3",2018-09-01,470,2024-05-16 06:01:35.818054
"Alderley","House","3",2018-12-01,430,2024-05-16 06:01:35.818054
"Alderley","House","3",2019-03-01,495,2024-05-16 06:01:35.818054
"Alderley","House","3",2019-06-01,475,2024-05-16 06:01:35.818054
"Alderley","House","3",2019-09-01,430,2024-05-16 06:01:35.818054
"Alderley","House","3",2019-12-01,510,2024-05-16 06:01:35.818054
"Alderley","House","3",2020-03-01,520,2024-05-16 06:01:35.818054
"Alderley","House","3",2020-06-01,495,2024-05-16 06:01:35.818054
"Alderley","House","3",2020-09-01,510,2024-05-16 06:01:35.818054
"Alderley","House","3",2020-12-01,495,2024-05-16 06:01:35.818054
"Alderley","House","3",2021-03-01,490,2024-05-16 06:01:35.818054
"Alderley","House","3",2021-06-01,510,2024-05-16 06:01:35.818054
"Alderley","House","3",2021-12-01,600,2024-05-16 06:01:35.818054
"Alderley","House","3",2022-03-01,590,2024-05-16 06:01:35.818054
"Alderley","House","3",2022-06-01,620,2024-05-16 06:01:35.818054
"Alderley","House","3",2022-09-01,625,2024-05-16 06:01:35.818054
"Alderley","House","3",2022-12-01,600,2024-05-16 06:01:35.818054
"Alderley","House","3",2023-03-01,580,2024-05-16 06:01:35.818054
"Alderley","House","3",2023-06-01,690,2024-05-16 06:01:35.818054
"Alderley","House","3",2023-09-01,650,2024-05-16 06:01:35.818054
"Alderley","House","3",2023-12-01,700,2024-05-16 06:01:35.818054
"Alderley","House","3",2024-03-01,700,2024-05-16 06:01:35.818054
"Alderley","House","4",2018-03-01,550,2024-05-16 06:01:35.818054
